,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
52,WDEXB,AL,2015,0,Alabama,119.2008893,164,1864412
53,WDPRB,AL,2015,163313,Alabama,119.2008893,164,1864412
54,WDTCB,AL,2015,163313,Alabama,119.2008893,164,1864412
55,WSTCB,AL,2015,1565,Alabama,119.2008893,164,1864412
56,WWPRB,AL,2015,164877,Alabama,119.2008893,164,1864412
57,WYTCB,AL,2015,0,Alabama,119.2008893,164,1864412
58,BDFDB,AR,2015,4429,Arkansas,59.05336455,477,13453887
59,BDPRP,AR,2015,815,Arkansas,59.05336455,477,13453887
60,BFFDB,AR,2015,4429,Arkansas,59.05336455,477,13453887
61,BFPRP,AR,2015,815,Arkansas,59.05336455,477,13453887
62,CLPRB,AR,2015,1819,Arkansas,59.05336455,477,13453887
63,CLPRK,AR,2015,19.893,Arkansas,59.05336455,477,13453887
64,CLPRP,AR,2015,91,Arkansas,59.05336455,477,13453887
65,COPRK,AR,2015,5.717,Arkansas,59.05336455,477,13453887
66,EMFDB,AR,2015,0,Arkansas,59.05336455,477,13453887
67,ENPRP,AR,2015,0,Arkansas,59.05336455,477,13453887
68,GETCB,AR,2015,808,Arkansas,59.05336455,477,13453887
69,HYTCB,AR,2015,33261,Arkansas,59.05336455,477,13453887
70,NCPRB,AR,2015,34194,Arkansas,59.05336455,477,13453887
71,NGMPB,AR,2015,1031466,Arkansas,59.05336455,477,13453887
72,NGMPK,AR,2015,1.021,Arkansas,59.05336455,477,13453887
73,NGMPP,AR,2015,1010382,Arkansas,59.05336455,477,13453887
74,NUETB,AR,2015,144716,Arkansas,59.05336455,477,13453887
75,PAPRB,AR,2015,35611,Arkansas,59.05336455,477,13453887
76,PAPRP,AR,2015,6229,Arkansas,59.05336455,477,13453887
77,REPRB,AR,2015,117840,Arkansas,59.05336455,477,13453887
78,SOTCB,AR,2015,124,Arkansas,59.05336455,477,13453887
79,TEPRB,AR,2015,1331452,Arkansas,59.05336455,477,13453887
80,TETCB,AR,2015,1062359,Arkansas,59.05336455,477,13453887
81,WDEXB,AR,2015,0,Arkansas,59.05336455,477,13453887
82,WDPRB,AR,2015,75417,Arkansas,59.05336455,477,13453887
83,WDTCB,AR,2015,75417,Arkansas,59.05336455,477,13453887
84,WSTCB,AR,2015,3799,Arkansas,59.05336455,477,13453887
85,WWPRB,AR,2015,79217,Arkansas,59.05336455,477,13453887
86,WYTCB,AR,2015,0,Arkansas,59.05336455,477,13453887
87,BDFDB,AZ,2015,12,Arizona,94.97878443,65,1724853
88,BDPRP,AZ,2015,2,Arizona,94.97878443,65,1724853
89,BFFDB,AZ,2015,6602,Arizona,94.97878443,65,1724853
90,BFPRP,AZ,2015,1157,Arizona,94.97878443,65,1724853
91,CLPRB,AZ,2015,146450,Arizona,94.97878443,65,1724853
92,CLPRK,AZ,2015,21.522,Arizona,94.97878443,65,1724853
93,CLPRP,AZ,2015,6805,Arizona,94.97878443,65,1724853
94,COPRK,AZ,2015,5.717,Arizona,94.97878443,65,1724853
95,EMFDB,AZ,2015,6590,Arizona,94.97878443,65,1724853
96,ENPRP,AZ,2015,1154,Arizona,94.97878443,65,1724853
97,GETCB,AZ,2015,345,Arizona,94.97878443,65,1724853
98,HYTCB,AZ,2015,60906,Arizona,94.97878443,65,1724853
99,NCPRB,AZ,2015,113693,Arizona,94.97878443,65,1724853
100,NGMPB,AZ,2015,99,Arizona,94.97878443,65,1724853
101,NGMPK,AZ,2015,1.04,Arizona,94.97878443,65,1724853
102,NGMPP,AZ,2015,95,Arizona,94.97878443,65,1724853
103,NUETB,AZ,2015,340153,Arizona,94.97878443,65,1724853
104,PAPRB,AZ,2015,212,Arizona,94.97878443,65,1724853
105,PAPRP,AZ,2015,37,Arizona,94.97878443,65,1724853
106,REPRB,AZ,2015,128954,Arizona,94.97878443,65,1724853
107,SOTCB,AZ,2015,48229,Arizona,94.97878443,65,1724853
108,TEPRB,AZ,2015,615867,Arizona,94.97878443,65,1724853
109,TETCB,AZ,2015,1495858,Arizona,94.97878443,65,1724853
110,WDEXB,AZ,2015,0,Arizona,94.97878443,65,1724853
111,WDPRB,AZ,2015,8001,Arizona,94.97878443,65,1724853
112,WDTCB,AZ,2015,8001,Arizona,94.97878443,65,1724853
113,WSTCB,AZ,2015,658,Arizona,94.97878443,65,1724853
114,WWPRB,AZ,2015,8659,Arizona,94.97878443,65,1724853
115,WYTCB,AZ,2015,4213,Arizona,94.97878443,65,1724853
116,BDFDB,CA,2015,4057,California,351.408516,1023,30077512
117,BDPRP,CA,2015,747,California,351.408516,1023,30077512
118,BFFDB,CA,2015,30601,California,351.408516,1023,30077512
119,BFPRP,CA,2015,5397,California,351.408516,1023,30077512
120,CLPRB,CA,2015,0,California,351.408516,1023,30077512
121,CLPRK,CA,2015,0,California,351.408516,1023,30077512
122,CLPRP,CA,2015,0,California,351.408516,1023,30077512
123,COPRK,CA,2015,5.717,California,351.408516,1023,30077512
124,EMFDB,CA,2015,26544,California,351.408516,1023,30077512
125,ENPRP,CA,2015,4650,California,351.408516,1023,30077512
126,GETCB,CA,2015,112878,California,351.408516,1023,30077512
127,HYTCB,CA,2015,128681,California,351.408516,1023,30077512
128,NCPRB,CA,2015,567365,California,351.408516,1023,30077512
129,NGMPB,CA,2015,271086,California,351.408516,1023,30077512
130,NGMPK,CA,2015,1.146,California,351.408516,1023,30077512
131,NGMPP,CA,2015,236648,California,351.408516,1023,30077512
132,NUETB,CA,2015,193529,California,351.408516,1023,30077512
133,PAPRB,CA,2015,1150741,California,351.408516,1023,30077512
134,PAPRP,CA,2015,201284,California,351.408516,1023,30077512
135,REPRB,CA,2015,737527,California,351.408516,1023,30077512
136,SOTCB,CA,2015,211839,California,351.408516,1023,30077512
137,TEPRB,CA,2015,2352883,California,351.408516,1023,30077512
138,TETCB,CA,2015,7525491,California,351.408516,1023,30077512
139,WDEXB,CA,2015,0,California,351.408516,1023,30077512
140,WDPRB,CA,2015,98852,California,351.408516,1023,30077512
141,WDTCB,CA,2015,98852,California,351.408516,1023,30077512
142,WSTCB,CA,2015,40708,California,351.408516,1023,30077512
143,WWPRB,CA,2015,139561,California,351.408516,1023,30077512
144,WYTCB,CA,2015,113967,California,351.408516,1023,30077512
145,BDFDB,CO,2015,0,Colorado,91.30387161,206,1658730
146,BDPRP,CO,2015,0,Colorado,91.30387161,206,1658730
147,BFFDB,CO,2015,19861,Colorado,91.30387161,206,1658730
148,BFPRP,CO,2015,3479,Colorado,91.30387161,206,1658730
149,CLPRB,CO,2015,403605,Colorado,91.30387161,206,1658730
150,CLPRK,CO,2015,21.379,Colorado,91.30387161,206,1658730
151,CLPRP,CO,2015,18879,Colorado,91.30387161,206,1658730
152,COPRK,CO,2015,5.717,Colorado,91.30387161,206,1658730
153,EMFDB,CO,2015,19861,Colorado,91.30387161,206,1658730
154,ENPRP,CO,2015,3479,Colorado,91.30387161,206,1658730
155,GETCB,CO,2015,759,Colorado,91.30387161,206,1658730
156,HYTCB,CO,2015,15098,Colorado,91.30387161,206,1658730
157,NCPRB,CO,2015,91789,Colorado,91.30387161,206,1658730
158,NGMPB,CO,2015,1965188,Colorado,91.30387161,206,1658730
159,NGMPK,CO,2015,1.164,Colorado,91.30387161,206,1658730
160,NGMPP,CO,2015,1688733,Colorado,91.30387161,206,1658730
161,NUETB,CO,2015,0,Colorado,91.30387161,206,1658730
162,PAPRB,CO,2015,698737,Colorado,91.30387161,206,1658730
163,PAPRP,CO,2015,122221,Colorado,91.30387161,206,1658730
164,REPRB,CO,2015,126586,Colorado,91.30387161,206,1658730
165,SOTCB,CO,2015,6270,Colorado,91.30387161,206,1658730
166,TEPRB,CO,2015,3194117,Colorado,91.30387161,206,1658730
167,TETCB,CO,2015,1501006,Colorado,91.30387161,206,1658730
168,WDEXB,CO,2015,0,Colorado,91.30387161,206,1658730
169,WDPRB,CO,2015,13804,Colorado,91.30387161,206,1658730
170,WDTCB,CO,2015,13804,Colorado,91.30387161,206,1658730
171,WSTCB,CO,2015,1133,Colorado,91.30387161,206,1658730
172,WWPRB,CO,2015,14936,Colorado,91.30387161,206,1658730
173,WYTCB,CO,2015,69662,Colorado,91.30387161,206,1658730
174,BDFDB,CT,2015,715,Connecticut,36.32904924,33,1340702
175,BDPRP,CT,2015,132,Connecticut,36.32904924,33,1340702
176,BFFDB,CT,2015,715,Connecticut,36.32904924,33,1340702
177,BFPRP,CT,2015,132,Connecticut,36.32904924,33,1340702
178,CLPRB,CT,2015,0,Connecticut,36.32904924,33,1340702
179,CLPRK,CT,2015,0,Connecticut,36.32904924,33,1340702
180,CLPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
181,COPRK,CT,2015,0,Connecticut,36.32904924,33,1340702
182,EMFDB,CT,2015,0,Connecticut,36.32904924,33,1340702
183,ENPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
184,GETCB,CT,2015,21,Connecticut,36.32904924,33,1340702
185,HYTCB,CT,2015,2819,Connecticut,36.32904924,33,1340702
186,NCPRB,CT,2015,5792,Connecticut,36.32904924,33,1340702
187,NGMPB,CT,2015,0,Connecticut,36.32904924,33,1340702
188,NGMPK,CT,2015,0,Connecticut,36.32904924,33,1340702
189,NGMPP,CT,2015,0,Connecticut,36.32904924,33,1340702
190,NUETB,CT,2015,182083,Connecticut,36.32904924,33,1340702
191,PAPRB,CT,2015,0,Connecticut,36.32904924,33,1340702
192,PAPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
193,REPRB,CT,2015,33234,Connecticut,36.32904924,33,1340702
194,SOTCB,CT,2015,2952,Connecticut,36.32904924,33,1340702
195,TEPRB,CT,2015,215318,Connecticut,36.32904924,33,1340702
196,TETCB,CT,2015,756746,Connecticut,36.32904924,33,1340702
197,WDEXB,CT,2015,0,Connecticut,36.32904924,33,1340702
198,WDPRB,CT,2015,15661,Connecticut,36.32904924,33,1340702
199,WDTCB,CT,2015,15661,Connecticut,36.32904924,33,1340702
200,WSTCB,CT,2015,11067,Connecticut,36.32904924,33,1340702
201,WWPRB,CT,2015,26728,Connecticut,36.32904924,33,1340702
202,WYTCB,CT,2015,0,Connecticut,36.32904924,33,1340702
203,BDFDB,DC,2015,0,District of Columbia,2.956880797,,
204,BDPRP,DC,2015,0,District of Columbia,2.956880797,,
205,BFFDB,DC,2015,0,District of Columbia,2.956880797,,
206,BFPRP,DC,2015,0,District of Columbia,2.956880797,,
207,CLPRB,DC,2015,0,District of Columbia,2.956880797,,
208,CLPRK,DC,2015,0,District of Columbia,2.956880797,,
209,CLPRP,DC,2015,0,District of Columbia,2.956880797,,
210,COPRK,DC,2015,0,District of Columbia,2.956880797,,
211,EMFDB,DC,2015,0,District of Columbia,2.956880797,,
212,ENPRP,DC,2015,0,District of Columbia,2.956880797,,
213,GETCB,DC,2015,22,District of Columbia,2.956880797,,
214,HYTCB,DC,2015,0,District of Columbia,2.956880797,,
215,NCPRB,DC,2015,326,District of Columbia,2.956880797,,
216,NGMPB,DC,2015,0,District of Columbia,2.956880797,,
217,NGMPK,DC,2015,0,District of Columbia,2.956880797,,
218,NGMPP,DC,2015,0,District of Columbia,2.956880797,,
219,NUETB,DC,2015,0,District of Columbia,2.956880797,,
220,PAPRB,DC,2015,0,District of Columbia,2.956880797,,
221,PAPRP,DC,2015,0,District of Columbia,2.956880797,,
222,REPRB,DC,2015,824,District of Columbia,2.956880797,,
223,SOTCB,DC,2015,304,District of Columbia,2.956880797,,
224,TEPRB,DC,2015,824,District of Columbia,2.956880797,,
225,TETCB,DC,2015,178222,District of Columbia,2.956880797,,
226,WDEXB,DC,2015,0,District of Columbia,2.956880797,,
227,WDPRB,DC,2015,0,District of Columbia,2.956880797,,
228,WDTCB,DC,2015,0,District of Columbia,2.956880797,,
229,WSTCB,DC,2015,498,District of Columbia,2.956880797,,
230,WWPRB,DC,2015,498,District of Columbia,2.956880797,,
231,WYTCB,DC,2015,0,District of Columbia,2.956880797,,
232,BDFDB,DE,2015,0,Delaware,13.9053954,68,1452666
233,BDPRP,DE,2015,0,Delaware,13.9053954,68,1452666
234,BFFDB,DE,2015,0,Delaware,13.9053954,68,1452666
235,BFPRP,DE,2015,0,Delaware,13.9053954,68,1452666
236,CLPRB,DE,2015,0,Delaware,13.9053954,68,1452666
237,CLPRK,DE,2015,0,Delaware,13.9053954,68,1452666
238,CLPRP,DE,2015,0,Delaware,13.9053954,68,1452666
239,COPRK,DE,2015,0,Delaware,13.9053954,68,1452666
240,EMFDB,DE,2015,0,Delaware,13.9053954,68,1452666
241,ENPRP,DE,2015,0,Delaware,13.9053954,68,1452666
242,GETCB,DE,2015,430,Delaware,13.9053954,68,1452666
243,HYTCB,DE,2015,0,Delaware,13.9053954,68,1452666
244,NCPRB,DE,2015,1708,Delaware,13.9053954,68,1452666
245,NGMPB,DE,2015,0,Delaware,13.9053954,68,1452666
246,NGMPK,DE,2015,0,Delaware,13.9053954,68,1452666
247,NGMPP,DE,2015,0,Delaware,13.9053954,68,1452666
248,NUETB,DE,2015,0,Delaware,13.9053954,68,1452666
249,PAPRB,DE,2015,0,Delaware,13.9053954,68,1452666
250,PAPRP,DE,2015,0,Delaware,13.9053954,68,1452666
251,REPRB,DE,2015,3517,Delaware,13.9053954,68,1452666
252,SOTCB,DE,2015,1230,Delaware,13.9053954,68,1452666
253,TEPRB,DE,2015,3517,Delaware,13.9053954,68,1452666
254,TETCB,DE,2015,284672,Delaware,13.9053954,68,1452666
255,WDEXB,DE,2015,0,Delaware,13.9053954,68,1452666
256,WDPRB,DE,2015,1044,Delaware,13.9053954,68,1452666
257,WDTCB,DE,2015,1044,Delaware,13.9053954,68,1452666
258,WSTCB,DE,2015,765,Delaware,13.9053954,68,1452666
259,WWPRB,DE,2015,1809,Delaware,13.9053954,68,1452666
260,WYTCB,DE,2015,48,Delaware,13.9053954,68,1452666
261,BDFDB,FL,2015,645,Florida,237.3833592,45,3527420
262,BDPRP,FL,2015,119,Florida,237.3833592,45,3527420
263,BFFDB,FL,2015,645,Florida,237.3833592,45,3527420
264,BFPRP,FL,2015,119,Florida,237.3833592,45,3527420
265,CLPRB,FL,2015,0,Florida,237.3833592,45,3527420
266,CLPRK,FL,2015,0,Florida,237.3833592,45,3527420
267,CLPRP,FL,2015,0,Florida,237.3833592,45,3527420
268,COPRK,FL,2015,5.717,Florida,237.3833592,45,3527420
269,EMFDB,FL,2015,0,Florida,237.3833592,45,3527420
270,ENPRP,FL,2015,0,Florida,237.3833592,45,3527420
271,GETCB,FL,2015,10056,Florida,237.3833592,45,3527420
272,HYTCB,FL,2015,2277,Florida,237.3833592,45,3527420
273,NCPRB,FL,2015,42466,Florida,237.3833592,45,3527420
274,NGMPB,FL,2015,1162,Florida,237.3833592,45,3527420
275,NGMPK,FL,2015,1.521,Florida,237.3833592,45,3527420
276,NGMPP,FL,2015,764,Florida,237.3833592,45,3527420
277,NUETB,FL,2015,294099,Florida,237.3833592,45,3527420
278,PAPRB,FL,2015,12623,Florida,237.3833592,45,3527420
279,PAPRP,FL,2015,2208,Florida,237.3833592,45,3527420
280,REPRB,FL,2015,223761,Florida,237.3833592,45,3527420
281,SOTCB,FL,2015,30133,Florida,237.3833592,45,3527420
282,TEPRB,FL,2015,531646,Florida,237.3833592,45,3527420
283,TETCB,FL,2015,4324701,Florida,237.3833592,45,3527420
284,WDEXB,FL,2015,0,Florida,237.3833592,45,3527420
285,WDPRB,FL,2015,111608,Florida,237.3833592,45,3527420
286,WDTCB,FL,2015,111608,Florida,237.3833592,45,3527420
287,WSTCB,FL,2015,69043,Florida,237.3833592,45,3527420
288,WWPRB,FL,2015,180650,Florida,237.3833592,45,3527420
289,WYTCB,FL,2015,0,Florida,237.3833592,45,3527420
290,BDFDB,GA,2015,1242,Georgia,145.6756383,247,6155856
291,BDPRP,GA,2015,229,Georgia,145.6756383,247,6155856
292,BFFDB,GA,2015,14563,Georgia,145.6756383,247,6155856
293,BFPRP,GA,2015,2562,Georgia,145.6756383,247,6155856
294,CLPRB,GA,2015,0,Georgia,145.6756383,247,6155856
295,CLPRK,GA,2015,0,Georgia,145.6756383,247,6155856
296,CLPRP,GA,2015,0,Georgia,145.6756383,247,6155856
297,COPRK,GA,2015,0,Georgia,145.6756383,247,6155856
298,EMFDB,GA,2015,13321,Georgia,145.6756383,247,6155856
299,ENPRP,GA,2015,2334,Georgia,145.6756383,247,6155856
300,GETCB,GA,2015,315,Georgia,145.6756383,247,6155856
301,HYTCB,GA,2015,27804,Georgia,145.6756383,247,6155856
302,NCPRB,GA,2015,30579,Georgia,145.6756383,247,6155856
303,NGMPB,GA,2015,0,Georgia,145.6756383,247,6155856
304,NGMPK,GA,2015,0,Georgia,145.6756383,247,6155856
305,NGMPP,GA,2015,0,Georgia,145.6756383,247,6155856
306,NUETB,GA,2015,353883,Georgia,145.6756383,247,6155856
307,PAPRB,GA,2015,0,Georgia,145.6756383,247,6155856
308,PAPRP,GA,2015,0,Georgia,145.6756383,247,6155856
309,REPRB,GA,2015,269514,Georgia,145.6756383,247,6155856
310,SOTCB,GA,2015,2461,Georgia,145.6756383,247,6155856
311,TEPRB,GA,2015,623396,Georgia,145.6756383,247,6155856
312,TETCB,GA,2015,2978591,Georgia,145.6756383,247,6155856
313,WDEXB,GA,2015,0,Georgia,145.6756383,247,6155856
314,WDPRB,GA,2015,195948,Georgia,145.6756383,247,6155856
315,WDTCB,GA,2015,195948,Georgia,145.6756383,247,6155856
316,WSTCB,GA,2015,28423,Georgia,145.6756383,247,6155856
317,WWPRB,GA,2015,224371,Georgia,145.6756383,247,6155856
318,WYTCB,GA,2015,0,Georgia,145.6756383,247,6155856
319,BDFDB,HI,2015,383,Hawaii,19.7810368,16,1033143
320,BDPRP,HI,2015,70,Hawaii,19.7810368,16,1033143
321,BFFDB,HI,2015,383,Hawaii,19.7810368,16,1033143
322,BFPRP,HI,2015,70,Hawaii,19.7810368,16,1033143
323,CLPRB,HI,2015,0,Hawaii,19.7810368,16,1033143
324,CLPRK,HI,2015,0,Hawaii,19.7810368,16,1033143
325,CLPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
326,COPRK,HI,2015,0,Hawaii,19.7810368,16,1033143
327,EMFDB,HI,2015,0,Hawaii,19.7810368,16,1033143
328,ENPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
329,GETCB,HI,2015,2154,Hawaii,19.7810368,16,1033143
330,HYTCB,HI,2015,1129,Hawaii,19.7810368,16,1033143
331,NCPRB,HI,2015,17353,Hawaii,19.7810368,16,1033143
332,NGMPB,HI,2015,0,Hawaii,19.7810368,16,1033143
333,NGMPK,HI,2015,0,Hawaii,19.7810368,16,1033143
334,NGMPP,HI,2015,0,Hawaii,19.7810368,16,1033143
335,NUETB,HI,2015,0,Hawaii,19.7810368,16,1033143
336,PAPRB,HI,2015,0,Hawaii,19.7810368,16,1033143
337,PAPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
338,REPRB,HI,2015,24957,Hawaii,19.7810368,16,1033143
339,SOTCB,HI,2015,8360,Hawaii,19.7810368,16,1033143
340,TEPRB,HI,2015,24957,Hawaii,19.7810368,16,1033143
341,TETCB,HI,2015,298992,Hawaii,19.7810368,16,1033143
342,WDEXB,HI,2015,0,Hawaii,19.7810368,16,1033143
343,WDPRB,HI,2015,38,Hawaii,19.7810368,16,1033143
344,WDTCB,HI,2015,38,Hawaii,19.7810368,16,1033143
345,WSTCB,HI,2015,7182,Hawaii,19.7810368,16,1033143
346,WWPRB,HI,2015,7220,Hawaii,19.7810368,16,1033143
347,WYTCB,HI,2015,5710,Hawaii,19.7810368,16,1033143
348,BDFDB,IA,2015,31304,Iowa,77.41573961,198,5552396
349,BDPRP,IA,2015,5762,Iowa,77.41573961,198,5552396
350,BFFDB,IA,2015,568234,Iowa,77.41573961,198,5552396
351,BFPRP,IA,2015,99820,Iowa,77.41573961,198,5552396
352,CLPRB,IA,2015,0,Iowa,77.41573961,198,5552396
353,CLPRK,IA,2015,0,Iowa,77.41573961,198,5552396
354,CLPRP,IA,2015,0,Iowa,77.41573961,198,5552396
355,COPRK,IA,2015,0,Iowa,77.41573961,198,5552396
356,EMFDB,IA,2015,536929,Iowa,77.41573961,198,5552396
357,ENPRP,IA,2015,94058,Iowa,77.41573961,198,5552396
358,GETCB,IA,2015,1281,Iowa,77.41573961,198,5552396
359,HYTCB,IA,2015,8948,Iowa,77.41573961,198,5552396
360,NCPRB,IA,2015,177203,Iowa,77.41573961,198,5552396
361,NGMPB,IA,2015,0,Iowa,77.41573961,198,5552396
362,NGMPK,IA,2015,0,Iowa,77.41573961,198,5552396
363,NGMPP,IA,2015,0,Iowa,77.41573961,198,5552396
364,NUETB,IA,2015,54836,Iowa,77.41573961,198,5552396
365,PAPRB,IA,2015,0,Iowa,77.41573961,198,5552396
366,PAPRP,IA,2015,0,Iowa,77.41573961,198,5552396
367,REPRB,IA,2015,766862,Iowa,77.41573961,198,5552396
368,SOTCB,IA,2015,419,Iowa,77.41573961,198,5552396
369,TEPRB,IA,2015,821698,Iowa,77.41573961,198,5552396
370,TETCB,IA,2015,1507520,Iowa,77.41573961,198,5552396
371,WDEXB,IA,2015,0,Iowa,77.41573961,198,5552396
372,WDPRB,IA,2015,6967,Iowa,77.41573961,198,5552396
373,WDTCB,IA,2015,6967,Iowa,77.41573961,198,5552396
374,WSTCB,IA,2015,14458,Iowa,77.41573961,198,5552396
375,WWPRB,IA,2015,21425,Iowa,77.41573961,198,5552396
376,WYTCB,IA,2015,166555,Iowa,77.41573961,198,5552396
377,BDFDB,ID,2015,0,Idaho,18.03591394,108,1895904
378,BDPRP,ID,2015,0,Idaho,18.03591394,108,1895904
379,BFFDB,ID,2015,8871,Idaho,18.03591394,108,1895904
380,BFPRP,ID,2015,1554,Idaho,18.03591394,108,1895904
381,CLPRB,ID,2015,0,Idaho,18.03591394,108,1895904
382,CLPRK,ID,2015,0,Idaho,18.03591394,108,1895904
383,CLPRP,ID,2015,0,Idaho,18.03591394,108,1895904
384,COPRK,ID,2015,5.717,Idaho,18.03591394,108,1895904
385,EMFDB,ID,2015,8871,Idaho,18.03591394,108,1895904
386,ENPRP,ID,2015,1554,Idaho,18.03591394,108,1895904
387,GETCB,ID,2015,2207,Idaho,18.03591394,108,1895904
388,HYTCB,ID,2015,81603,Idaho,18.03591394,108,1895904
389,NCPRB,ID,2015,105046,Idaho,18.03591394,108,1895904
390,NGMPB,ID,2015,1192,Idaho,18.03591394,108,1895904
391,NGMPK,ID,2015,1.106,Idaho,18.03591394,108,1895904
392,NGMPP,ID,2015,1078,Idaho,18.03591394,108,1895904
393,NUETB,ID,2015,0,Idaho,18.03591394,108,1895904
394,PAPRB,ID,2015,172,Idaho,18.03591394,108,1895904
395,PAPRP,ID,2015,30,Idaho,18.03591394,108,1895904
396,REPRB,ID,2015,153503,Idaho,18.03591394,108,1895904
397,SOTCB,ID,2015,81,Idaho,18.03591394,108,1895904
398,TEPRB,ID,2015,154866,Idaho,18.03591394,108,1895904
399,TETCB,ID,2015,540252,Idaho,18.03591394,108,1895904
400,WDEXB,ID,2015,0,Idaho,18.03591394,108,1895904
401,WDPRB,ID,2015,32130,Idaho,18.03591394,108,1895904
402,WDTCB,ID,2015,32130,Idaho,18.03591394,108,1895904
403,WSTCB,ID,2015,7455,Idaho,18.03591394,108,1895904
404,WWPRB,ID,2015,39585,Idaho,18.03591394,108,1895904
405,WYTCB,ID,2015,21156,Idaho,18.03591394,108,1895904
406,BDFDB,IL,2015,19087,Illinois,219.157681,57,2533998
407,BDPRP,IL,2015,3513,Illinois,219.157681,57,2533998
408,BFFDB,IL,2015,230655,Illinois,219.157681,57,2533998
409,BFPRP,IL,2015,40575,Illinois,219.157681,57,2533998
410,CLPRB,IL,2015,1252879,Illinois,219.157681,57,2533998
411,CLPRK,IL,2015,22.282,Illinois,219.157681,57,2533998
412,CLPRP,IL,2015,56227,Illinois,219.157681,57,2533998
413,COPRK,IL,2015,5.717,Illinois,219.157681,57,2533998
414,EMFDB,IL,2015,211568,Illinois,219.157681,57,2533998
415,ENPRP,IL,2015,37062,Illinois,219.157681,57,2533998
